folder,product_stem,main_image_url,gallery_urls,total_images,has_model,has_non_model_counterpart
double_breasted,mens_double_breasted_suit_2021,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/double_breasted/mens_double_breasted_suit_2021_0.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/double_breasted/mens_double_breasted_suit_2021_0.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/double_breasted/mens_double_breasted_suit_2021_1.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/double_breasted/mens_double_breasted_suit_2021_2.webp,3,no,yes
double_breasted,mens_double_breasted_suit_2022,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/double_breasted/mens_double_breasted_suit_2022_0.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/double_breasted/mens_double_breasted_suit_2022_0.webp,1,no,yes
double_breasted,mens_double_breasted_suit_2023,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/double_breasted/mens_double_breasted_suit_2023_0.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/double_breasted/mens_double_breasted_suit_2023_0.webp,1,no,yes
double_breasted,mens_double_breasted_suit_2024,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/double_breasted/mens_double_breasted_suit_model_2024_0.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/double_breasted/mens_double_breasted_suit_2024_0.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/double_breasted/mens_double_breasted_suit_model_2024_0.webp,2,yes,yes
dress_shirts/mock_neck,mens_dress_shirt_mock_neck_3001,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/dress_shirts/mock_neck/mens_dress_shirt_mock_neck_3001_0.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/dress_shirts/mock_neck/mens_dress_shirt_mock_neck_3001_0.webp,1,no,yes
dress_shirts/mock_neck,mens_dress_shirt_mock_neck_3003,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/dress_shirts/mock_neck/mens_dress_shirt_mock_neck_3003_0.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/dress_shirts/mock_neck/mens_dress_shirt_mock_neck_3003_0.webp,1,no,yes
dress_shirts/mock_neck,mens_dress_shirt_mock_neck_3007,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/dress_shirts/mock_neck/mens_dress_shirt_mock_neck_3007_0.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/dress_shirts/mock_neck/mens_dress_shirt_mock_neck_3007_0.webp,1,no,yes
dress_shirts/mock_neck,mens_dress_shirt_mock_neck_3011,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/dress_shirts/mock_neck/mens_dress_shirt_mock_neck_3011_0.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/dress_shirts/mock_neck/mens_dress_shirt_mock_neck_3011_0.webp,1,no,yes
dress_shirts/stretch_collar,mens_dress_shirt_stretch_collar_3004,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/dress_shirts/stretch_collar/mens_dress_shirt_stretch_collar_model_3004_0.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/dress_shirts/stretch_collar/mens_dress_shirt_stretch_collar_3004_0.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/dress_shirts/stretch_collar/mens_dress_shirt_stretch_collar_model_3004_0.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/dress_shirts/stretch_collar/mens_dress_shirt_stretch_collar_model_3004_1.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/dress_shirts/stretch_collar/mens_dress_shirt_stretch_collar_model_3004_2.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/dress_shirts/stretch_collar/mens_dress_shirt_stretch_collar_model_3004_3.webp,5,yes,yes
dress_shirts/stretch_collar,mens_dress_shirt_stretch_collar_3005,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/dress_shirts/stretch_collar/mens_dress_shirt_stretch_collar_model_3005_0.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/dress_shirts/stretch_collar/mens_dress_shirt_stretch_collar_model_3005_0.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/dress_shirts/stretch_collar/mens_dress_shirt_stretch_collar_model_3005_1.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/dress_shirts/stretch_collar/mens_dress_shirt_stretch_collar_model_3005_2.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/dress_shirts/stretch_collar/mens_dress_shirt_stretch_collar_model_3005_3.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/dress_shirts/stretch_collar/mens_dress_shirt_stretch_collar_model_3005_4.webp,5,yes,no
