product_slug,product_name_guess,base_name,colors,image_count_ok,total_images,bad_images,image_1,image_2,image_3,image_4,image_5,image_6,image_7,image_8,image_9,image_10,image_11,image_12
blazer-and-floral-with-matching-bowtie,Black Red Blazer And Floral With Matching Bowtie,Blazer And Floral With Matching Bowtie,"Black, Red",2,2,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_2/blazer_black-and-red-floral-with-matching-bowtie_1.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_02/blazer_black-and-red-floral-with-matching-bowtie_1.0.jpg,,,,,,,,,,
blazer-floral-prom-tuxedo-blazer-satin-lapel,Red Black Blazer Floral Prom Tuxedo Blazer Satin Lapel,Blazer Floral Prom Tuxedo Blazer Satin Lapel,"Red, Black",2,2,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_2/blazer_black-floral-prom-tuxedo-blazer-2025-satin-lapel_1.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_2/blazer_red-floral-prom-tuxedo-blazer-2025-black-satin-lapel_1.0.jpg,,,,,,,,,,
blazer-glitter-rhinestone-shawl-lapel-tuxedo-blazer-prom,Black Blazer Glitter Rhinestone Shawl Lapel Tuxedo Blazer Prom,Blazer Glitter Rhinestone Shawl Lapel Tuxedo Blazer Prom,Black,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_4/blazer_black-glitter-rhinestone-shawl-lapel-tuxedo-blazer-prom-2025_1.0.jpg,,,,,,,,,,,
blazer-men-s-embellished-lapel-tuxedo-blazer-prom-wedding,Royal Blue Blazer Men S Embellished Lapel Tuxedo Blazer Prom Wedding,Blazer Men S Embellished Lapel Tuxedo Blazer Prom Wedding,"Royal, Blue",1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_4/blazer_men-s-royal-blue-embellished-lapel-tuxedo-blazer-prom-wedding_1.0.jpg,,,,,,,,,,,
blazer-men-s-floral-brocade-tuxedo-blazer-luxury-prom-wedding-jacket,Red Blazer Men S Floral Brocade Tuxedo Blazer Luxury Prom Wedding Jacket,Blazer Men S Floral Brocade Tuxedo Blazer Luxury Prom Wedding Jacket,Red,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/blazer_men-s-red-floral-brocade-tuxedo-blazer-luxury-prom-wedding-jacket_1.0.jpg,,,,,,,,,,,
blazer-of-sparkle-prom-blazer,Rose Brown Blazer OF Sparkle Prom Blazer,Blazer OF Sparkle Prom Blazer,"Rose, Brown",1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_3/blazer_copy-of-rose-brown-sparkle-prom-blazer_1.0.jpg,,,,,,,,,,,
blazer-paisley-matching-bowtie-with-shawl-lapel-prom-blazer,Rose Gold Black Blazer Paisley Matching Bowtie With Shawl Lapel Prom Blazer,Blazer Paisley Matching Bowtie With Shawl Lapel Prom Blazer,"Rose, Gold, Black",2,2,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_3/blazer_rose-gold-paisley-matching-bowtie-with-black-shawl-lapel-prom-blazer_1.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_03/blazer_rose-gold-paisley-matching-bowtie-with-black-shawl-lapel-prom-blazer_1.0.jpg,,,,,,,,,,
blazer-golden-pattern-prom-blazer-with-satin-notch-lapel,Black Black Blazer Golden Pattern Prom Blazer With Satin Notch Lapel,Blazer Golden Pattern Prom Blazer With Satin Notch Lapel,Black,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_2/blazer_golden-pattern-black-prom-blazer-with-black-satin-notch-lapel_1.0.jpg,,,,,,,,,,,
blazer-patterned-velvet-tuxedo-blazer-luxury-prom-wedding,Green Blazer Patterned Velvet Tuxedo Blazer Luxury Prom Wedding,Blazer Patterned Velvet Tuxedo Blazer Luxury Prom Wedding,Green,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_2/blazer_green-patterned-velvet-tuxedo-blazer-luxury-prom-wedding_1.0.jpg,,,,,,,,,,,
blazer-on-blazer-with-matching-bowtie,Black Black Blazer ON Blazer With Matching Bowtie,Blazer ON Blazer With Matching Bowtie,Black,2,2,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_4/blazer_black-on-black-blazer-with-matching-bowtie_1.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_04/blazer_black-on-black-blazer-with-matching-bowtie_1.0.jpg,,,,,,,,,,
blazer-paisley-tuxedo-blazer-luxury-prom-wedding-jacket,Green Gold Blazer Paisley Tuxedo Blazer Luxury Prom Wedding Jacket,Blazer Paisley Tuxedo Blazer Luxury Prom Wedding Jacket,"Green, Gold",2,2,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_3/blazer_white-blue-paisley-tuxedo-blazer-luxury-prom-wedding-jacket_1.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/blazer_green-gold-paisley-tuxedo-blazer-luxury-prom-wedding-jacket_1.0.jpg,,,,,,,,,,
blazer-men-s-sequin-tuxedo-blazer-luxury-prom-wedding-jacket,Gold Blazer Men S Sequin Tuxedo Blazer Luxury Prom Wedding Jacket,Blazer Men S Sequin Tuxedo Blazer Luxury Prom Wedding Jacket,Gold,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_3/blazer_men-s-gold-sequin-tuxedo-blazer-luxury-prom-wedding-jacket_1.0.jpg,,,,,,,,,,,
blazer-paisley-with-lapel-blazer-with-matching-bowtie,Burgundy Black Blazer Paisley With Lapel Blazer With Matching Bowtie,Blazer Paisley With Lapel Blazer With Matching Bowtie,"Burgundy, Black",2,2,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/blazer_burgundy-paisley-with-black-lapel-blazer-with-matching-bowtie_1.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/blazer_burgundy-paisley-with-black-lapel-blazer-with-matching-bowtie_1.0.jpg,,,,,,,,,,
blazer-with-lapel-blazer-with-matching-bowtie,Red Black Blazer With Lapel Blazer With Matching Bowtie,Blazer With Lapel Blazer With Matching Bowtie,"Red, Black",2,2,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/blazer_red-with-black-lapel-blazer-with-matching-bowtie_1.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/blazer_red-with-black-lapel-blazer-with-matching-bowtie_1.0.jpg,,,,,,,,,,
blazer-velvet-blazer,Black Blazer Velvet Blazer,Blazer Velvet Blazer,Black,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_2/blazer_black-velvet-blazer_1.0.jpg,,,,,,,,,,,
blazer-velvet-jacket-bowtie,Red Blazer Velvet Jacket Bowtie,Blazer Velvet Jacket Bowtie,Red,2,2,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_04/blazer_purple-velvet-jacket-bowtie_1.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_04/blazer_red-velvet-jacket-bowtie_1.0.jpg,,,,,,,,,,
blazer-patterned-tuxedo-blazer-luxury-prom-wedding-jacket,Mint Green Gold Blazer Patterned Tuxedo Blazer Luxury Prom Wedding Jacket,Blazer Patterned Tuxedo Blazer Luxury Prom Wedding Jacket,"Mint, Green, Gold",1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_3/blazer_mint-green-gold-patterned-tuxedo-blazer-luxury-prom-wedding-jacket_1.0.jpg,,,,,,,,,,,
blazer-with-diamond-pattern-prom-blazer,Navy Blazer With Diamond Pattern Prom Blazer,Blazer With Diamond Pattern Prom Blazer,Navy,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_2/blazer_navy-with-diamond-pattern-prom-blazer_1.0.jpg,,,,,,,,,,,
mens-blazers-mens-herringbone-blazer-with-shirt-and-chinos-ensemble,Tan White Beige Mens Blazers Mens Herringbone Blazer With Shirt And Chinos Ensemble,Mens Blazers Mens Herringbone Blazer With Shirt And Chinos Ensemble,"Tan, White, Beige",1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_3/mens-blazers_mens-tan-herringbone-blazer-with-white-shirt-and-beige-chinos-ensemble_1.0.jpg,,,,,,,,,,,
nan-aqua-floral-prom-blazer,Nan Aqua Floral Prom Blazer,Nan Aqua Floral Prom Blazer,,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_3/nan_aqua-floral-prom-blazer_3.0.jpg,,,,,,,,,,,
nan-baby-blush-floral-prom-blazer-with-matching-bowtie,Blue Pink Nan Baby Blush Floral Prom Blazer With Matching Bowtie,Nan Baby Blush Floral Prom Blazer With Matching Bowtie,"Blue, Pink",1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_02/nan_baby-blue-blush-pink-floral-prom-blazer-with-matching-bowtie_3.0.jpg,,,,,,,,,,,
nan-diamond-jacket-prom-blazer,Black Nan Diamond Jacket Prom Blazer,Nan Diamond Jacket Prom Blazer,Black,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_3/nan_black-diamond-jacket-prom-blazer_3.0.jpg,,,,,,,,,,,
nan-emerald-floral-prom-blazer-with-matching-bowtie,Green Gold Nan Emerald Floral Prom Blazer With Matching Bowtie,Nan Emerald Floral Prom Blazer With Matching Bowtie,"Green, Gold",1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_02/nan_emerald-green-gold-floral-prom-blazer-with-matching-bowtie_1.0.jpg,,,,,,,,,,,
nan-floral-prom-tuxedo-blazer-satin-lapel,Gold Black Nan Floral Prom Tuxedo Blazer Satin Lapel,Nan Floral Prom Tuxedo Blazer Satin Lapel,"Gold, Black",1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_3/nan_gold-floral-prom-tuxedo-blazer-2025-black-satin-lapel_2.0.jpg,,,,,,,,,,,
nan-floral-tuxedo-blazer-luxury-prom-wedding-jacket,Black Gold Nan Floral Tuxedo Blazer Luxury Prom Wedding Jacket,Nan Floral Tuxedo Blazer Luxury Prom Wedding Jacket,"Black, Gold",2,2,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_2/nan_black-purple-floral-tuxedo-blazer-luxury-prom-wedding-jacket_2.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_3/nan_black-gold-floral-tuxedo-blazer-luxury-prom-wedding-jacket_2.0.jpg,,,,,,,,,,
nan-gingham-pattern-sparkle-prom-blazer,Black Nan Gingham Pattern Sparkle Prom Blazer,Nan Gingham Pattern Sparkle Prom Blazer,Black,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_2/nan_black-gingham-pattern-sparkle-prom-blazer_3.0.jpg,,,,,,,,,,,
nan-golden-pattern-prom-blazer-with-satin-notch-lapel,Navy Black Nan Golden Pattern Prom Blazer With Satin Notch Lapel,Nan Golden Pattern Prom Blazer With Satin Notch Lapel,"Navy, Black",1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_3/nan_golden-pattern-navy-prom-blazer-with-black-satin-notch-lapel_4.0.webp,,,,,,,,,,,
nan-light-floral-prom-blazer-with-matching-bowtie,Blue Mint Nan Light Floral Prom Blazer With Matching Bowtie,Nan Light Floral Prom Blazer With Matching Bowtie,"Blue, Mint",1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/nan_light-blue-mint-floral-prom-blazer-with-matching-bowtie_3.0.jpg,,,,,,,,,,,
nan-men-s-bronze-geometric-tuxedo-blazer-luxury-prom-wedding,Black Nan Men S Bronze Geometric Tuxedo Blazer Luxury Prom Wedding,Nan Men S Bronze Geometric Tuxedo Blazer Luxury Prom Wedding,Black,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/nan_men-s-bronze-black-geometric-tuxedo-blazer-luxury-prom-wedding_2.0.jpg,,,,,,,,,,,
nan-men-s-bronze-velvet-tuxedo-blazer-luxury-prom-wedding-jacket,Nan Men S Bronze Velvet Tuxedo Blazer Luxury Prom Wedding Jacket,Nan Men S Bronze Velvet Tuxedo Blazer Luxury Prom Wedding Jacket,,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_2/nan_men-s-bronze-velvet-tuxedo-blazer-luxury-prom-wedding-jacket_2.0.jpg,,,,,,,,,,,
nan-men-s-glitter-tuxedo-blazer-with-embellished-lapel-prom,Gold Nan Men S Glitter Tuxedo Blazer With Embellished Lapel Prom,Nan Men S Glitter Tuxedo Blazer With Embellished Lapel Prom,Gold,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_4/nan_men-s-gold-glitter-tuxedo-blazer-with-embellished-lapel-prom-2025_2.0.jpg,,,,,,,,,,,
nan-men-s-velvet-tuxedo-blazer-with-trim-prom-wedding,Royal Blue Gold Nan Men S Velvet Tuxedo Blazer With Trim Prom Wedding,Nan Men S Velvet Tuxedo Blazer With Trim Prom Wedding,"Royal, Blue, Gold",1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/nan_men-s-royal-blue-velvet-tuxedo-blazer-with-gold-trim-prom-wedding_2.0.jpg,,,,,,,,,,,
nan-men-s-textured-velvet-tuxedo-blazer-luxury-prom-wedding,Red Nan Men S Textured Velvet Tuxedo Blazer Luxury Prom Wedding,Nan Men S Textured Velvet Tuxedo Blazer Luxury Prom Wedding,Red,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_3/nan_men-s-red-textured-velvet-tuxedo-blazer-luxury-prom-wedding_2.0.jpg,,,,,,,,,,,
nan-mens-double-breasted-blazer-modern-slim-fit,Black Nan Mens Double Breasted Blazer Modern Slim Fit,Nan Mens Double Breasted Blazer Modern Slim Fit,Black,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_4/nan_mens-double-breasted-black-blazer-modern-slim-fit_4.0.jpg,,,,,,,,,,,
nan-mens-slim-fit-dark-textured-blazer,Green Nan Mens Slim Fit Dark Textured Blazer,Nan Mens Slim Fit Dark Textured Blazer,Green,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_2/nan_mens-slim-fit-dark-green-textured-blazer_4.0.png,,,,,,,,,,,
nan-mens-slim-fit-light-textured-blazer,Blue Nan Mens Slim Fit Light Textured Blazer,Nan Mens Slim Fit Light Textured Blazer,Blue,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/nan_mens-slim-fit-light-blue-textured-blazer_3.0.png,,,,,,,,,,,
nan-mens-slim-fit-single-button-blazer,Black Nan Mens Slim Fit Single Button Blazer,Nan Mens Slim Fit Single Button Blazer,Black,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_4/nan_mens-slim-fit-black-single-button-blazer_2.0.jpg,,,,,,,,,,,
nan-mens-tweed-blazer-with-dress-shirt-and-dark-denim-ensemble,Grey White Nan Mens Tweed Blazer With Dress Shirt And Dark Denim Ensemble,Nan Mens Tweed Blazer With Dress Shirt And Dark Denim Ensemble,"Grey, White",1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_2/nan_mens-grey-tweed-blazer-with-white-dress-shirt-and-dark-denim-ensemble_3.0.jpg,,,,,,,,,,,
nan-on-blazer-with-matching-bowtie,White White Nan ON Blazer With Matching Bowtie,Nan ON Blazer With Matching Bowtie,White,2,2,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_04/nan_ivory-on-ivory-blazer-with-matching-bowtie_1.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_04/nan_white-on-white-blazer-with-matching-bowtie_1.0.jpg,,,,,,,,,,
nan-paisley-tuxedo-blazer-luxury-prom-wedding-jacket,Gold Black Nan Paisley Tuxedo Blazer Luxury Prom Wedding Jacket,Nan Paisley Tuxedo Blazer Luxury Prom Wedding Jacket,"Gold, Black",1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_3/nan_gold-black-paisley-tuxedo-blazer-luxury-prom-wedding-jacket_2.0.jpg,,,,,,,,,,,
nan-of-with-diamond-pattern-prom-blazer,Green Nan OF With Diamond Pattern Prom Blazer,Nan OF With Diamond Pattern Prom Blazer,Green,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_4/nan_copy-of-green-with-diamond-pattern-prom-blazer_3.0.jpg,,,,,,,,,,,
nan-prom-blazer-with-lapel,Rose Gold Black Nan Prom Blazer With Lapel,Nan Prom Blazer With Lapel,"Rose, Gold, Black",1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/nan_rose-gold-prom-blazer-with-black-lapel_2.0.jpg,,,,,,,,,,,
nan-rhinestone-shawl-lapel-tuxedo-blazer-prom-wedding-jacket,White Nan Rhinestone Shawl Lapel Tuxedo Blazer Prom Wedding Jacket,Nan Rhinestone Shawl Lapel Tuxedo Blazer Prom Wedding Jacket,White,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_4/nan_white-rhinestone-shawl-lapel-tuxedo-blazer-prom-wedding-jacket_2.0.jpg,,,,,,,,,,,
