product_slug,product_name,image_count_ok,total_images,bad_images,image_1,image_2,image_3,image_4,image_5,image_6,image_7,image_8,image_9,image_10,image_11,image_12
boot-jotter-cap-toe,Black Boot Jotter Cap Toe,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_2/boot_black-jotter-cap-toe_1.0.jpg,,,,,,,,,,,
boots-chelsea-boots,Navy Boots Chelsea Boots,4,4,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_2/boots_beige-chelsea-boots_1.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/boots_black-chelsea-boots_1.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/boots_brown-chelsea-boots_1.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/boots_navy-chelsea-boots_1.0.jpg,,,,,,,,
bowtie-and-with-matching-bowtie,Red Black Bowtie And With Matching Bowtie,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_03/bowtie_red-and-black-with-matching-bowtie_1.0.jpg,,,,,,,,,,,
bowtie-with-design-with-matching-bowtie,Black Red Bowtie With Design With Matching Bowtie,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_02/bowtie_black-with-red-design-with-matching-bowtie_1.0.jpg,,,,,,,,,,,
cummerband-cummerbund-set,Red Cummerband Cummerbund Set,3,3,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_4/cummerband_royal-blue-cummerbund-set_1.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/cummerband_black-cummerbund-set_1.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/cummerband_red-cummerbund-set_1.0.jpg,,,,,,,,,
dress-shirt-dress-shirt,Red Dress Shirt Dress Shirt,2,2,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_3/dress-shirt_white-dress-shirt_1.0.png,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/dress-shirt_red-dress-shirt_1.0.png,,,,,,,,,,
dress-shoe-and-prom-sneakers-with-spikes,Black White Gold Dress Shoe And Prom Sneakers With Spikes,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_2/dress-shoe_black-and-white-prom-sneakers-with-gold-spikes_1.0.jpg,,,,,,,,,,,
dress-shoe-all-leather-versatile-sneakers-prom-professional,White Dress Shoe All Leather Versatile Sneakers Prom Professional,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_4/dress-shoe_all-white-leather-versatile-sneakers-prom-professional_1.0.jpg,,,,,,,,,,,
dress-shoe-leather-sneakers-with-accent-versatile-prom-eleganc,White Cobalt Blue Dress Shoe Leather Sneakers With Accent Versatile Prom Eleganc,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_4/dress-shoe_white-leather-sneakers-with-cobalt-blue-accent-versatile-prom-eleganc_1.0.jpg,,,,,,,,,,,
dress-shoe-leather-sneakers-with-accent-versatile-prom-elegance,White Black Dress Shoe Leather Sneakers With Accent Versatile Prom Elegance,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_2/dress-shoe_white-leather-sneakers-with-black-accent-versatile-prom-elegance_1.0.jpg,,,,,,,,,,,
