product_slug,product_name,image_count_ok,total_images,bad_images,image_1,image_2,image_3,image_4,image_5,image_6,image_7,image_8,image_9,image_10,image_11,image_12
nan-a-vest-and-tie-set,White Nan A Vest And Tie Set,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/nan_10-a-white-vest-and-tie-set_1.0.jpg,,,,,,,,,,,
nan-blush-vest-and-tie-set,Nan Blush Vest And Tie Set,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_04/nan_blush-vest-and-tie-set_1.0.jpg,,,,,,,,,,,
nan-bowtie-wedding-bundle,Charcoal Nan Bowtie Wedding Bundle,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_02/nan_charcoal-bowtie-wedding-bundle_5.0.jpg,,,,,,,,,,,
nan-bubblegum-vest-and-tie-set,Pink Nan Bubblegum Vest And Tie Set,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_02/nan_bubblegum-pink-vest-and-tie-set_1.0.jpg,,,,,,,,,,,
nan-canary-vest-and-tie-set,Nan Canary Vest And Tie Set,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_04/nan_canary-vest-and-tie-set_1.0.jpg,,,,,,,,,,,
nan-carolina-vest-and-tie-set,Blue Nan Carolina Vest And Tie Set,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_03/nan_carolina-blue-vest-and-tie-set_1.0.jpg,,,,,,,,,,,
nan-chocolate-vest-and-tie-set,Brown Nan Chocolate Vest And Tie Set,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/nan_chocolate-brown-vest-and-tie-set_1.0.jpg,,,,,,,,,,,
nan-cinnamon-vest-and-tie-set,Nan Cinnamon Vest And Tie Set,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_04/nan_cinnamon-vest-and-tie-set_1.0.jpg,,,,,,,,,,,
nan-coral-vest-and-tie-set,Nan Coral Vest And Tie Set,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/nan_coral-vest-and-tie-set_1.0.jpg,,,,,,,,,,,
nan-dark-suspender-bow-tie-set,Grey Nan Dark Suspender Bow Tie Set,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_04/nan_dark-grey-suspender-bow-tie-set_1.0.jpg,,,,,,,,,,,
