Organic Traffic Insights
Users,218,18%
New Users,206,19%
Sessions,248,9%
Engaged Sessions,72,-6%
Engagement rate,0.29,-14%
Conversions,1.00,-75%
Av. engagement time,00:00:00,0


Landing pages,Search queries,Search queries Trend,Users,New Users,Sessions,Engaged Sessions,Engagement rate,Conversions,Av. engagement time
https://kctmenswear.com/,542,141,55,48,63,30,0.48,1.00,00:00:00
https://kctmenswear.com/pages/location-and-hours,30,4,10,8,11,2,0.18,0.00,00:00:00
https://kctmenswear.com/collections/floral-suits,125,20,8,8,8,3,0.38,0.00,00:00:00
https://kctmenswear.com,0,0,5,2,7,0,0.00,0.00,00:00:00
https://kctmenswear.com/blogs/news/best-wedding-tuxedos-for-2025-top-styles-colors-trends,68,-14,6,6,6,0,0.00,0.00,00:00:00
https://kctmenswear.com/products/glitter-green-prom-blazer,34,8,5,5,6,0,0.00,0.00,00:00:00
https://kctmenswear.com/products/green-velvet-silver-floral-prom-blazer,8,5,4,4,4,2,0.50,0.00,00:00:00
https://kctmenswear.com/products/mauve-stretch-suit-travelers-suit,28,2,4,3,4,1,0.25,0.00,00:00:00
https://kctmenswear.com/blogs/news/2025-prom-sneakers-style-guide,125,16,3,3,3,0,0.00,0.00,00:00:00
https://kctmenswear.com/products/pink-ombre-with-silver-floral-fusion-dazzling-prom-blazer,2,0,3,3,3,0,0.00,0.00,00:00:00
https://kctmenswear.com/products/purple-velvet-loafers-gold-spikes-prom-shoes,30,9,3,3,3,0,0.00,0.00,00:00:00
https://kctmenswear.com/products/sparkling-emerald-green-loafers-prom-shoes,20,4,3,3,3,2,0.67,0.00,00:00:00
https://kctmenswear.com/products/black-on-black-blazer-with-matching-bowtie,1,-2,2,2,2,0,0.00,0.00,00:00:00
https://kctmenswear.com/products/black-on-black-tuxedo-with-vest,69,1,2,2,2,0,0.00,0.00,00:00:00
https://kctmenswear.com/products/blue-diamond-jacket,5,0,2,2,2,0,0.00,0.00,00:00:00
https://kctmenswear.com/products/burgundy-vest-and-tie-set,16,6,2,2,2,1,0.50,0.00,00:00:00
https://kctmenswear.com/products/charcoal-grey-suit-three-piece,35,3,2,2,2,0,0.00,0.00,00:00:00
https://kctmenswear.com/products/copy-of-blue-pattern-prom-blazer,26,5,2,2,2,0,0.00,0.00,00:00:00
https://kctmenswear.com/products/copy-of-lilac-turtleneck,11,-6,2,2,2,0,0.00,0.00,00:00:00
https://kctmenswear.com/products/green-with-diamond-pattern-prom-blazer,15,2,2,2,2,1,0.50,0.00,00:00:00
https://kctmenswear.com/products/mauve-solo-ties?variant=42503336951996&country=US&currency=USD,0,0,2,2,2,0,0.00,0.00,00:00:00
https://kctmenswear.com/products/men-s-sequin-lapel-three-piece-prom-tuxedo-perfect-for-prom-2025,8,-1,2,2,2,1,0.50,0.00,00:00:00
https://kctmenswear.com/products/mens-champagne-tuxedo-slim-fit-satin-lapel-suit,24,0,2,2,2,2,1.00,0.00,00:00:00
https://kctmenswear.com/products/mint-green-stretch-summer-suit-refreshing-style-colorful-prom-and-wedding-celebrations,14,5,2,2,2,0,0.00,0.00,00:00:00
https://kctmenswear.com/products/shiny-blush-pink-satin-suit,61,2,2,2,2,0,0.00,0.00,00:00:00
https://kctmenswear.com/products/white-leather-sneakers-with-black-accent-versatile-prom-elegance?variant=43368425259196&country=US&currency=USD,0,0,2,1,2,0,0.00,0.00,00:00:00
https://kctmenswear.com/collections/shiny-shirts,45,7,1,1,2,0,0.00,0.00,00:00:00
https://kctmenswear.com/products/cinnamon-vest-and-tie-set?list_generator=link_to_storefront&context=order_management&user_id=137004284,0,0,1,0,2,1,0.50,0.00,00:00:00
https://kctmenswear.com/products/velvet-prom-loafers-2025?variant=44667097186492,0,0,1,0,2,0,0.00,0.00,00:00:00
https://kctmenswear.com/?list_generator=link_to_storefront&context=shop_store&user_id=595151594,0,0,1,1,1,0,0.00,0.00,00:00:00


https://kctmenswear.com/
Search Query,Clicks,Trend,Impressions,Trend,CTR %,Trend %,Position,Trend
suit rental near me,1,+1,3,+2,33.33,+33.33,5.7,-2.3
kct menswear,1,+1,33," -8",3.03,+3.03,2.7,+0.1
young mens suits for prom,0,0,2,0,0,0,72.5,-17
yellow wedding suits(new),0,0,1,0,0,0,99,0
white tuxedo with black trim,0,0,1," -2",0,0,8,-0.3
white tux with black trim,0,0,1,0,0,0,4,-1
white tux for prom,0,0,1,0,0,0,68,-9
white tux black pants(new),0,0,1,0,0,0,7,0
white suit with pink accents(new),0,0,2,0,0,0,78,0
white paisley tuxedo jacket,0,0,1," -1",0,0,5,-1
white paisley tuxedo(new),0,0,1,0,0,0,4,0
white and teal tuxedo,0,0,1,0,0,0,59,+7
white and teal suit(new),0,0,3,0,0,0,79,0
white and silver tuxedo,0,0,1,0,0,0,64,-13
white and silver tux,0,0,1,0,0,0,75,+1
white and silver suits,0,0,3,+1,0,0,73,-7
white and silver prom suit,0,0,3," -1",0,0,41,-5.2
white and red tuxedos for weddings(new),0,0,1,0,0,0,52,0
white and red suits for men(new),0,0,3,0,0,0,88.7,0
white and red suits(new),0,0,2,0,0,0,102.5,0
white and pink tuxedo(new),0,0,1,0,0,0,69,0
white and orange prom suit,0,0,1,0,0,0,60,-9
white and maroon tuxedo(new),0,0,4,0,0,0,92.8,0
white and light blue tuxedo(new),0,0,1,0,0,0,76,0
white and green tuxedo(new),0,0,1,0,0,0,81,0
white and gold wedding tuxedos(new),0,0,3,0,0,0,53.7,0
white and gold wedding suit,0,0,5,+2,0,0,72.8,+8.8
white and gold tuxedos(new),0,0,1,0,0,0,66,0
white and gold suits(new),0,0,3,0,0,0,52.3,0
white and gold suit for prom,0,0,1,0,0,0,43,-4
white and gold prom suits,0,0,2,+1,0,0,37,-18
white and blue tuxedos(new),0,0,2,0,0,0,10.5,0
white and black tuxedo(new),0,0,3,0,0,0,8.3,0
where to get a suit for prom(new),0,0,1,0,0,0,69,0
where can i buy a quality tuxedos under £100?,0,0,3," -2",0,0,76.3,+5.5
where can i buy a quality prom suits under £100?,0,0,7,0,0,0,66.7,-15.6
where can i buy a quality prom suit under £100?,0,0,7,+1,0,0,60.7,-12.3
wedding vest near me(new),0,0,1,0,0,0,100,0
wedding suits for young men,0,0,3,+1,0,0,70.3,-26.7
wedding suits custom tailored(new),0,0,10,0,0,0,18.7,0
wedding suits black and red(new),0,0,1,0,0,0,62,0
wedding suit tuxedo(new),0,0,2,0,0,0,24.5,0
wedding suit tailoring(new),0,0,1,0,0,0,80,0
wedding suit pink(new),0,0,1,0,0,0,101,0
wedding suit custom(new),0,0,8,0,0,0,5.4,0
wedding blazer suit(new),0,0,1,0,0,0,67,0
wedding 2 piece suit(new),0,0,1,0,0,0,101,0
vintage mauve tie(new),0,0,1,0,0,0,11,0
vest and tie sets,0,0,1,0,0,0,12,-2
vest and tie set,0,0,3,0,0,0,8.3,-7
vest and tie combo,0,0,4,+1,0,0,6.2,+1.6
vest and tie,0,0,2," -3",0,0,11.5,-1.5
velvet tuxedo jacket rental,0,0,1," -1",0,0,69,-30.5
unique tuxedos for weddings(new),0,0,1,0,0,0,4,0
tuxedos for men luxury,0,0,3,+1,0,0,71,-29
tuxedo with red shirt(new),0,0,1,0,0,0,93,0
tuxedo tailored(new),0,0,1,0,0,0,37,0
tuxedo royal blue suits for men,0,0,1,0,0,0,2,0
tuxedo rose(new),0,0,1,0,0,0,3,0
tuxedo rentals near me(new),0,0,1,0,0,0,11,0
tuxedo rental near me(new),0,0,2,0,0,0,9,0
tuxedo rental kalamazoo,0,0,6," -5",0,0,3.7,-0.3
tuxedo rental,0,0,7,+3,0,0,4.9,-3.6
tuxedo red suit for men(new),0,0,1,0,0,0,68,0
tuxedo red and black(new),0,0,3,0,0,0,16.3,0
tuxedo purple and black(new),0,0,4,0,0,0,79.8,0
tuxedo prom dress(new),0,0,1,0,0,0,2,0
tuxedo menswear(new),0,0,8,0,0,0,45.5,0
tuxedo men wedding suit(new),0,0,1,0,0,0,2,0
